0,10,0,0,0,0,1,1,1
0,9,0,0,0,0,1,1,1
0,8,0,0,0,0,1,1,1
0,7,0,0,0,0,1,1,1
0,6,0,0,0,0,1,1,1
0,5,0,0,0,0,1,1,1
0,10,1,0,0,0,1,1,1
0,9,1,0,0,0,1,1,1
0,8,1,0,0,0,1,1,1
0,7,1,0,0,0,1,1,1
0,6,1,0,0,0,1,1,1
0,5,1,0,0,0,1,1,1
0,10,2,0,0,0,1,1,1
0,9,2,0,0,0,1,1,1
0,8,2,0,0,0,1,1,1
0,7,2,0,0,0,1,1,1
0,6,2,0,0,0,1,1,1
0,5,2,0,0,0,1,1,1
0,10,3,0,0,0,1,1,1
0,9,3,0,0,0,1,1,1
0,8,3,0,0,0,1,1,1
0,7,3,0,0,0,1,1,1
0,6,3,0,0,0,1,1,1
0,5,3,0,0,0,1,1,1
0,10,4,0,0,0,1,1,1
0,9,4,0,0,0,1,1,1
0,8,4,0,0,0,1,1,1
0,7,4,0,0,0,1,1,1
0,6,4,0,0,0,1,1,1
0,5,4,0,0,0,1,1,1
0,10,5,0,0,0,1,1,1
0,9,5,0,0,0,1,1,1
0,8,5,0,0,0,1,1,1
0,7,5,0,0,0,1,1,1
0,6,5,0,0,0,1,1,1
0,5,5,0,0,0,1,1,1
0,10,6,0,0,0,1,1,1
0,9,6,0,0,0,1,1,1
0,8,6,0,0,0,1,1,1
0,7,6,0,0,0,1,1,1
0,6,6,0,0,0,1,1,1
0,5,6,0,0,0,1,1,1
0,10,7,0,0,0,1,1,1
0,9,7,0,0,0,1,1,1
0,8,7,0,0,0,1,1,1
0,7,7,0,0,0,1,1,1
0,6,7,0,0,0,1,1,1
0,5,7,0,0,0,1,1,1
0,11,8,0,0,0,1,1,1
0,10,8,0,0,0,1,1,1
0,9,8,0,0,0,1,1,1
0,8,8,0,0,0,1,1,1
0,7,8,0,0,0,1,1,1
0,6,8,0,0,0,1,1,1
0,5,8,0,0,0,1,1,1
0,12,9,0,0,0,1,1,1
0,11,9,0,0,0,1,1,1
0,10,9,0,0,0,1,1,1
0,9,9,0,0,0,1,1,1
0,8,9,0,0,0,1,1,1
0,7,9,0,0,0,1,1,1
0,6,9,0,0,0,1,1,1
0,5,9,0,0,0,1,1,1
0,12,10,0,0,0,1,1,1
0,11,10,0,0,0,1,1,1
0,10,10,0,0,0,1,1,1
0,9,10,0,0,0,1,1,1
0,8,10,0,0,0,1,1,1
0,7,10,0,0,0,1,1,1
0,6,10,0,0,0,1,1,1
0,5,10,0,0,0,1,1,1
0,11,11,0,0,0,1,1,1
0,10,11,0,0,0,1,1,1
0,9,11,0,0,0,1,1,1
0,8,11,0,0,0,1,1,1
0,7,11,0,0,0,1,1,1
0,6,11,0,0,0,1,1,1
0,5,11,0,0,0,1,1,1
0,10,12,0,0,0,1,1,1
0,9,12,0,0,0,1,1,1
0,8,12,0,0,0,1,1,1
0,7,12,0,0,0,1,1,1
0,6,12,0,0,0,1,1,1
0,5,12,0,0,0,1,1,1
0,10,13,0,0,0,1,1,1
0,9,13,0,0,0,1,1,1
0,8,13,0,0,0,1,1,1
0,7,13,0,0,0,1,1,1
0,6,13,0,0,0,1,1,1
0,5,13,0,0,0,1,1,1
0,9,14,0,0,0,1,1,1
0,8,14,0,0,0,1,1,1
0,7,14,0,0,0,1,1,1
0,6,14,0,0,0,1,1,1
0,5,14,0,0,0,1,1,1
0,9,15,0,0,0,1,1,1
0,8,15,0,0,0,1,1,1
0,7,15,0,0,0,1,1,1
0,6,15,0,0,0,1,1,1
0,5,15,0,0,0,1,1,1
0,10,16,0,0,0,1,1,1
0,9,16,0,0,0,1,1,1
0,8,16,0,0,0,1,1,1
0,7,16,0,0,0,1,1,1
0,6,16,0,0,0,1,1,1
0,5,16,0,0,0,1,1,1
0,10,17,0,0,0,1,1,1
0,9,17,0,0,0,1,1,1
0,8,17,0,0,0,1,1,1
0,7,17,0,0,0,1,1,1
0,6,17,0,0,0,1,1,1
0,5,17,0,0,0,1,1,1
0,10,18,0,0,0,1,1,1
0,9,18,0,0,0,1,1,1
0,8,18,0,0,0,1,1,1
0,7,18,0,0,0,1,1,1
0,6,18,0,0,0,1,1,1
0,5,18,0,0,0,1,1,1
0,10,19,0,0,0,1,1,1
0,9,19,0,0,0,1,1,1
0,8,19,0,0,0,1,1,1
0,7,19,0,0,0,1,1,1
0,6,19,0,0,0,1,1,1
0,5,19,0,0,0,1,1,1
0,10,20,0,0,0,1,1,1
0,9,20,0,0,0,1,1,1
0,8,20,0,0,0,1,1,1
0,7,20,0,0,0,1,1,1
0,6,20,0,0,0,1,1,1
0,5,20,0,0,0,1,1,1
0,10,21,0,0,0,1,1,1
0,9,21,0,0,0,1,1,1
0,8,21,0,0,0,1,1,1
0,7,21,0,0,0,1,1,1
0,6,21,0,0,0,1,1,1
0,5,21,0,0,0,1,1,1
0,10,22,0,0,0,1,1,1
0,9,22,0,0,0,1,1,1
0,8,22,0,0,0,1,1,1
0,7,22,0,0,0,1,1,1
0,6,22,0,0,0,1,1,1
0,5,22,0,0,0,1,1,1
0,10,23,0,0,0,1,1,1
0,9,23,0,0,0,1,1,1
0,8,23,0,0,0,1,1,1
0,7,23,0,0,0,1,1,1
0,6,23,0,0,0,1,1,1
0,5,23,0,0,0,1,1,1
0,10,24,0,0,0,1,1,1
0,9,24,0,0,0,1,1,1
0,8,24,0,0,0,1,1,1
0,7,24,0,0,0,1,1,1
0,6,24,0,0,0,1,1,1
0,5,24,0,0,0,1,1,1
0,10,25,0,0,0,1,1,1
0,9,25,0,0,0,1,1,1
0,8,25,0,0,0,1,1,1
0,7,25,0,0,0,1,1,1
0,6,25,0,0,0,1,1,1
0,5,25,0,0,0,1,1,1
0,10,26,0,0,0,1,1,1
0,9,26,0,0,0,1,1,1
0,8,26,0,0,0,1,1,1
0,7,26,0,0,0,1,1,1
0,6,26,0,0,0,1,1,1
0,5,26,0,0,0,1,1,1
0,10,27,0,0,0,1,1,1
0,9,27,0,0,0,1,1,1
0,8,27,0,0,0,1,1,1
0,7,27,0,0,0,1,1,1
0,6,27,0,0,0,1,1,1
0,5,27,0,0,0,1,1,1
0,10,28,0,0,0,1,1,1
0,9,28,0,0,0,1,1,1
0,8,28,0,0,0,1,1,1
0,7,28,0,0,0,1,1,1
0,6,28,0,0,0,1,1,1
0,5,28,0,0,0,1,1,1
0,10,29,0,0,0,1,1,1
0,9,29,0,0,0,1,1,1
0,8,29,0,0,0,1,1,1
0,7,29,0,0,0,1,1,1
0,6,29,0,0,0,1,1,1
0,5,29,0,0,0,1,1,1
0,10,30,0,0,0,1,1,1
0,9,30,0,0,0,1,1,1
0,8,30,0,0,0,1,1,1
0,7,30,0,0,0,1,1,1
0,6,30,0,0,0,1,1,1
0,5,30,0,0,0,1,1,1
0,10,31,0,0,0,1,1,1
0,9,31,0,0,0,1,1,1
0,8,31,0,0,0,1,1,1
0,7,31,0,0,0,1,1,1
0,6,31,0,0,0,1,1,1
0,5,31,0,0,0,1,1,1
0,9,32,0,0,0,1,1,1
0,8,32,0,0,0,1,1,1
0,7,32,0,0,0,1,1,1
0,6,32,0,0,0,1,1,1
0,5,32,0,0,0,1,1,1
0,8,33,0,0,0,1,1,1
0,7,33,0,0,0,1,1,1
0,6,33,0,0,0,1,1,1
0,5,33,0,0,0,1,1,1
0,7,34,0,0,0,1,1,1
0,6,34,0,0,0,1,1,1
0,5,34,0,0,0,1,1,1
0,7,35,0,0,0,1,1,1
0,6,35,0,0,0,1,1,1
0,5,35,0,0,0,1,1,1
0,8,36,0,0,0,1,1,1
0,7,36,0,0,0,1,1,1
0,6,36,0,0,0,1,1,1
0,5,36,0,0,0,1,1,1
0,10,37,0,0,0,1,1,1
0,9,37,0,0,0,1,1,1
0,8,37,0,0,0,1,1,1
0,7,37,0,0,0,1,1,1
0,6,37,0,0,0,1,1,1
0,5,37,0,0,0,1,1,1
0,10,38,0,0,0,1,1,1
0,9,38,0,0,0,1,1,1
0,8,38,0,0,0,1,1,1
0,7,38,0,0,0,1,1,1
0,6,38,0,0,0,1,1,1
0,5,38,0,0,0,1,1,1
0,11,39,0,0,0,1,1,1
0,10,39,0,0,0,1,1,1
0,9,39,0,0,0,1,1,1
0,8,39,0,0,0,1,1,1
0,7,39,0,0,0,1,1,1
0,6,39,0,0,0,1,1,1
0,5,39,0,0,0,1,1,1
0,11,40,0,0,0,1,1,1
0,10,40,0,0,0,1,1,1
0,9,40,0,0,0,1,1,1
0,8,40,0,0,0,1,1,1
0,7,40,0,0,0,1,1,1
0,6,40,0,0,0,1,1,1
0,5,40,0,0,0,1,1,1
0,10,41,0,0,0,1,1,1
0,9,41,0,0,0,1,1,1
0,8,41,0,0,0,1,1,1
0,7,41,0,0,0,1,1,1
0,6,41,0,0,0,1,1,1
0,5,41,0,0,0,1,1,1
0,10,42,0,0,0,1,1,1
0,9,42,0,0,0,1,1,1
0,8,42,0,0,0,1,1,1
0,7,42,0,0,0,1,1,1
0,6,42,0,0,0,1,1,1
0,5,42,0,0,0,1,1,1
0,10,43,0,0,0,1,1,1
0,9,43,0,0,0,1,1,1
0,8,43,0,0,0,1,1,1
0,7,43,0,0,0,1,1,1
0,6,43,0,0,0,1,1,1
0,5,43,0,0,0,1,1,1
0,10,44,0,0,0,1,1,1
0,9,44,0,0,0,1,1,1
0,8,44,0,0,0,1,1,1
0,7,44,0,0,0,1,1,1
0,6,44,0,0,0,1,1,1
0,5,44,0,0,0,1,1,1
0,10,45,0,0,0,1,1,1
0,9,45,0,0,0,1,1,1
0,8,45,0,0,0,1,1,1
0,7,45,0,0,0,1,1,1
0,6,45,0,0,0,1,1,1
0,5,45,0,0,0,1,1,1
0,11,46,0,0,0,1,1,1
0,10,46,0,0,0,1,1,1
0,9,46,0,0,0,1,1,1
0,8,46,0,0,0,1,1,1
0,7,46,0,0,0,1,1,1
0,6,46,0,0,0,1,1,1
0,5,46,0,0,0,1,1,1
0,11,47,0,0,0,1,1,1
0,10,47,0,0,0,1,1,1
0,9,47,0,0,0,1,1,1
0,8,47,0,0,0,1,1,1
0,7,47,0,0,0,1,1,1
0,6,47,0,0,0,1,1,1
0,5,47,0,0,0,1,1,1
0,10,48,0,0,0,1,1,1
0,9,48,0,0,0,1,1,1
0,8,48,0,0,0,1,1,1
0,7,48,0,0,0,1,1,1
0,6,48,0,0,0,1,1,1
0,5,48,0,0,0,1,1,1
0,10,49,0,0,0,1,1,1
0,9,49,0,0,0,1,1,1
0,8,49,0,0,0,1,1,1
0,7,49,0,0,0,1,1,1
0,6,49,0,0,0,1,1,1
0,5,49,0,0,0,1,1,1
1,11,0,0,0,0,1,1,1
1,10,0,0,0,0,1,1,1
1,9,0,0,0,0,1,1,1
1,8,0,0,0,0,1,1,1
1,7,0,0,0,0,1,1,1
1,6,0,0,0,0,1,1,1
1,5,0,0,0,0,1,1,1
1,11,1,0,0,0,1,1,1
1,10,1,0,0,0,1,1,1
1,9,1,0,0,0,1,1,1
1,8,1,0,0,0,1,1,1
1,7,1,0,0,0,1,1,1
1,6,1,0,0,0,1,1,1
1,5,1,0,0,0,1,1,1
1,11,2,0,0,0,1,1,1
1,10,2,0,0,0,1,1,1
1,9,2,0,0,0,1,1,1
1,8,2,0,0,0,1,1,1
1,7,2,0,0,0,1,1,1
1,6,2,0,0,0,1,1,1
1,5,2,0,0,0,1,1,1
1,10,3,0,0,0,1,1,1
1,9,3,0,0,0,1,1,1
1,8,3,0,0,0,1,1,1
1,7,3,0,0,0,1,1,1
1,6,3,0,0,0,1,1,1
1,5,3,0,0,0,1,1,1
1,10,4,0,0,0,1,1,1
1,9,4,0,0,0,1,1,1
1,8,4,0,0,0,1,1,1
1,7,4,0,0,0,1,1,1
1,6,4,0,0,0,1,1,1
1,5,4,0,0,0,1,1,1
1,9,5,0,0,0,1,1,1
1,8,5,0,0,0,1,1,1
1,7,5,0,0,0,1,1,1
1,6,5,0,0,0,1,1,1
1,5,5,0,0,0,1,1,1
1,9,6,0,0,0,1,1,1
1,8,6,0,0,0,1,1,1
1,7,6,0,0,0,1,1,1
1,6,6,0,0,0,1,1,1
1,5,6,0,0,0,1,1,1
1,9,7,0,0,0,1,1,1
1,8,7,0,0,0,1,1,1
1,7,7,0,0,0,1,1,1
1,6,7,0,0,0,1,1,1
1,5,7,0,0,0,1,1,1
1,10,8,0,0,0,1,1,1
1,9,8,0,0,0,1,1,1
1,8,8,0,0,0,1,1,1
1,7,8,0,0,0,1,1,1
1,6,8,0,0,0,1,1,1
1,5,8,0,0,0,1,1,1
1,10,9,0,0,0,1,1,1
1,9,9,0,0,0,1,1,1
1,8,9,0,0,0,1,1,1
1,7,9,0,0,0,1,1,1
1,6,9,0,0,0,1,1,1
1,5,9,0,0,0,1,1,1
1,11,10,0,0,0,1,1,1
1,10,10,0,0,0,1,1,1
1,9,10,0,0,0,1,1,1
1,8,10,0,0,0,1,1,1
1,7,10,0,0,0,1,1,1
1,6,10,0,0,0,1,1,1
1,5,10,0,0,0,1,1,1
1,11,11,0,0,0,1,1,1
1,10,11,0,0,0,1,1,1
1,9,11,0,0,0,1,1,1
1,8,11,0,0,0,1,1,1
1,7,11,0,0,0,1,1,1
1,6,11,0,0,0,1,1,1
1,5,11,0,0,0,1,1,1
1,10,12,0,0,0,1,1,1
1,9,12,0,0,0,1,1,1
1,8,12,0,0,0,1,1,1
1,7,12,0,0,0,1,1,1
1,6,12,0,0,0,1,1,1
1,5,12,0,0,0,1,1,1
1,10,13,0,0,0,1,1,1
1,9,13,0,0,0,1,1,1
1,8,13,0,0,0,1,1,1
1,7,13,0,0,0,1,1,1
1,6,13,0,0,0,1,1,1
1,5,13,0,0,0,1,1,1
1,10,14,0,0,0,1,1,1
1,9,14,0,0,0,1,1,1
1,8,14,0,0,0,1,1,1
1,7,14,0,0,0,1,1,1
1,6,14,0,0,0,1,1,1
1,5,14,0,0,0,1,1,1
1,10,15,0,0,0,1,1,1
1,9,15,0,0,0,1,1,1
1,8,15,0,0,0,1,1,1
1,7,15,0,0,0,1,1,1
1,6,15,0,0,0,1,1,1
1,5,15,0,0,0,1,1,1
1,10,16,0,0,0,1,1,1
1,9,16,0,0,0,1,1,1
1,8,16,0,0,0,1,1,1
1,7,16,0,0,0,1,1,1
1,6,16,0,0,0,1,1,1
1,5,16,0,0,0,1,1,1
1,11,17,0,0,0,1,1,1
1,10,17,0,0,0,1,1,1
1,9,17,0,0,0,1,1,1
1,8,17,0,0,0,1,1,1
1,7,17,0,0,0,1,1,1
1,6,17,0,0,0,1,1,1
1,5,17,0,0,0,1,1,1
1,11,18,0,0,0,1,1,1
1,10,18,0,0,0,1,1,1
1,9,18,0,0,0,1,1,1
1,8,18,0,0,0,1,1,1
1,7,18,0,0,0,1,1,1
1,6,18,0,0,0,1,1,1
1,5,18,0,0,0,1,1,1
1,11,19,0,0,0,1,1,1
1,10,19,0,0,0,1,1,1
1,9,19,0,0,0,1,1,1
1,8,19,0,0,0,1,1,1
1,7,19,0,0,0,1,1,1
1,6,19,0,0,0,1,1,1
1,5,19,0,0,0,1,1,1
1,10,20,0,0,0,1,1,1
1,9,20,0,0,0,1,1,1
1,8,20,0,0,0,1,1,1
1,7,20,0,0,0,1,1,1
1,6,20,0,0,0,1,1,1
1,5,20,0,0,0,1,1,1
1,10,21,0,0,0,1,1,1
1,9,21,0,0,0,1,1,1
1,8,21,0,0,0,1,1,1
1,7,21,0,0,0,1,1,1
1,6,21,0,0,0,1,1,1
1,5,21,0,0,0,1,1,1
1,10,22,0,0,0,1,1,1
1,9,22,0,0,0,1,1,1
1,8,22,0,0,0,1,1,1
1,7,22,0,0,0,1,1,1
1,6,22,0,0,0,1,1,1
1,5,22,0,0,0,1,1,1
1,10,23,0,0,0,1,1,1
1,9,23,0,0,0,1,1,1
1,8,23,0,0,0,1,1,1
1,7,23,0,0,0,1,1,1
1,6,23,0,0,0,1,1,1
1,5,23,0,0,0,1,1,1
1,10,24,0,0,0,1,1,1
1,9,24,0,0,0,1,1,1
1,8,24,0,0,0,1,1,1
1,7,24,0,0,0,1,1,1
1,6,24,0,0,0,1,1,1
1,5,24,0,0,0,1,1,1
1,10,25,0,0,0,1,1,1
1,9,25,0,0,0,1,1,1
1,8,25,0,0,0,1,1,1
1,7,25,0,0,0,1,1,1
1,6,25,0,0,0,1,1,1
1,5,25,0,0,0,1,1,1
1,9,26,0,0,0,1,1,1
1,8,26,0,0,0,1,1,1
1,7,26,0,0,0,1,1,1
1,6,26,0,0,0,1,1,1
1,5,26,0,0,0,1,1,1
1,9,27,0,0,0,1,1,1
1,8,27,0,0,0,1,1,1
1,7,27,0,0,0,1,1,1
1,6,27,0,0,0,1,1,1
1,5,27,0,0,0,1,1,1
1,9,28,0,0,0,1,1,1
1,8,28,0,0,0,1,1,1
1,7,28,0,0,0,1,1,1
1,6,28,0,0,0,1,1,1
1,5,28,0,0,0,1,1,1
1,9,29,0,0,0,1,1,1
1,8,29,0,0,0,1,1,1
1,7,29,0,0,0,1,1,1
1,6,29,0,0,0,1,1,1
1,5,29,0,0,0,1,1,1
1,9,30,0,0,0,1,1,1
1,8,30,0,0,0,1,1,1
1,7,30,0,0,0,1,1,1
1,6,30,0,0,0,1,1,1
1,5,30,0,0,0,1,1,1
1,9,31,0,0,0,1,1,1
1,8,31,0,0,0,1,1,1
1,7,31,0,0,0,1,1,1
1,6,31,0,0,0,1,1,1
1,5,31,0,0,0,1,1,1
1,8,32,0,0,0,1,1,1
1,7,32,0,0,0,1,1,1
1,6,32,0,0,0,1,1,1
1,5,32,0,0,0,1,1,1
1,7,33,0,0,0,1,1,1
1,6,33,0,0,0,1,1,1
1,5,33,0,0,0,1,1,1
1,6,34,0,0,0,1,1,1
1,5,34,0,0,0,1,1,1
1,6,35,0,0,0,1,1,1
1,5,35,0,0,0,1,1,1
1,8,36,0,0,0,1,1,1
1,7,36,0,0,0,1,1,1
1,6,36,0,0,0,1,1,1
1,5,36,0,0,0,1,1,1
1,10,37,0,0,0,1,1,1
1,9,37,0,0,0,1,1,1
1,8,37,0,0,0,1,1,1
1,7,37,0,0,0,1,1,1
1,6,37,0,0,0,1,1,1
